##NAMES=Magnetite
##RRUFFID=R060656
##IDEAL CHEMISTRY=Fe^2+^Fe^3+^_2_O_4_
##LOCALITY=Jacupiranga Pegmatite, Sao Paulo State, Brazil
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black rounded octahedra associated with phlogopite and diopside
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R060656
##MEASURED CHEMISTRY=(Fe^2+^_0.98_Mg_0.01_Mn_0.01_)(Fe^3+^_1.96_Ti_0.02_Mg_0.02_)O_4_
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##CELL PARAMETERS=a: 8.4003 b: 8.4003 c: 8.4003 alpha: 90 beta: 90 gamma: 90 volume: 592.78 crystal system: cubic
##FILETYPE=RAW Powder Diffraction Profile

5, 57
5.01, 60
5.02, 65
5.03, 51
5.04, 55
5.05, 69
5.06, 70
5.07, 62
5.08, 60
5.09, 53
5.1, 62
5.11, 74
5.12, 59
5.13, 53
5.14, 63
5.15, 57
5.16, 50
5.17, 63
5.18, 48
5.19, 48
5.2, 60
5.21, 73
5.22, 62
5.23, 63
5.24, 44
5.25, 46
5.26, 56
5.27, 63
5.28, 64
5.29, 63
5.3, 66
5.31, 49
5.32, 52
5.33, 80
5.34, 63
5.35, 52
5.36, 60
5.37, 69
5.38, 56
5.39, 60
5.4, 50
5.41, 68
5.42, 54
5.43, 78
5.44, 80
5.45, 80
5.46, 72
5.47, 62
5.48, 73
5.49, 72
5.5, 76
5.51, 69
5.52, 64
5.53, 73
5.54, 74
5.55, 67
5.56, 66
5.57, 52
5.58, 62
5.59, 64
5.6, 63
5.61, 65
5.62, 61
5.63, 65
5.64, 73
5.65, 66
5.66, 68
5.67, 66
5.68, 73
5.69, 78
5.7, 52
5.71, 66
5.72, 71
5.73, 62
5.74, 75
5.75, 80
5.76, 77
5.77, 68
5.78, 69
5.79, 57
5.8, 62
5.81, 65
5.82, 57
5.83, 64
5.84, 76
5.85, 80
5.86, 70
5.87, 55
5.88, 89
5.89, 68
5.9, 51
5.91, 79
5.92, 64
5.93, 77
5.94, 68
5.95, 65
5.96, 79
5.97, 63
5.98, 69
5.99, 50
6, 67
6.01, 75
6.02, 57
6.03, 78
6.04, 77
6.05, 80
6.06, 64
6.07, 83
6.08, 70
6.09, 61
6.1, 60
6.11, 63
6.12, 56
6.13, 62
6.14, 61
6.15, 73
6.16, 103
6.17, 81
6.18, 60
6.19, 70
6.2, 67
6.21, 65
6.22, 72
6.23, 64
6.24, 81
6.25, 69
6.26, 88
6.27, 63
6.28, 55
6.29, 73
6.3, 76
6.31, 73
6.32, 68
6.33, 71
6.34, 74
6.35, 77
6.36, 68
6.37, 80
6.38, 69
6.39, 65
6.4, 73
6.41, 68
6.42, 53
6.43, 60
6.44, 61
6.45, 59
6.46, 59
6.47, 66
6.48, 64
6.49, 80
6.5, 80
6.51, 75
6.52, 72
6.53, 57
6.54, 56
6.55, 76
6.56, 71
6.57, 80
6.58, 67
6.59, 71
6.6, 64
6.61, 71
6.62, 61
6.63, 74
6.64, 74
6.65, 69
6.66, 86
6.67, 79
6.68, 68
6.69, 80
6.7, 71
6.71, 70
6.72, 64
6.73, 49
6.74, 74
6.75, 76
6.76, 67
6.77, 90
6.78, 60
6.79, 69
6.8, 82
6.81, 74
6.82, 66
6.83, 74
6.84, 66
6.85, 86
6.86, 89
6.87, 86
6.88, 72
6.89, 83
6.9, 66
6.91, 82
6.92, 72
6.93, 78
6.94, 85
6.95, 71
6.96, 74
6.97, 67
6.98, 77
6.99, 80
7, 66
7.01, 72
7.02, 67
7.03, 72
7.04, 67
7.05, 73
7.06, 69
7.07, 73
7.08, 78
7.09, 89
7.1, 65
7.11, 75
7.12, 58
7.13, 85
7.14, 83
7.15, 78
7.16, 67
7.17, 67
7.18, 63
7.19, 85
7.2, 61
7.21, 57
7.22, 69
7.23, 69
7.24, 72
7.25, 71
7.26, 77
7.27, 80
7.28, 77
7.29, 64
7.3, 80
7.31, 85
7.32, 80
7.33, 85
7.34, 64
7.35, 86
7.36, 72
7.37, 92
7.38, 73
7.39, 89
7.4, 82
7.41, 57
7.42, 93
7.43, 84
7.44, 63
7.45, 87
7.46, 94
7.47, 75
7.48, 80
7.49, 80
7.5, 82
7.51, 70
7.52, 80
7.53, 79
7.54, 93
7.55, 75
7.56, 74
7.57, 77
7.58, 83
7.59, 78
7.6, 82
7.61, 79
7.62, 98
7.63, 74
7.64, 76
7.65, 85
7.66, 84
7.67, 74
7.68, 53
7.69, 64
7.7, 65
7.71, 82
7.72, 97
7.73, 80
7.74, 89
7.75, 81
7.76, 70
7.77, 77
7.78, 85
7.79, 75
7.8, 71
7.81, 85
7.82, 83
7.83, 93
7.84, 78
7.85, 90
7.86, 82
7.87, 86
7.88, 83
7.89, 78
7.9, 69
7.91, 75
7.92, 82
7.93, 83
7.94, 95
7.95, 80
7.96, 79
7.97, 82
7.98, 83
7.99, 84
8, 80
8.01, 80
8.02, 68
8.03, 85
8.04, 83
8.05, 67
8.06, 67
8.07, 81
8.08, 74
8.09, 76
8.1, 89
8.11, 81
8.12, 81
8.13, 95
8.14, 74
8.15, 66
8.16, 71
8.17, 59
8.18, 78
8.19, 78
8.2, 82
8.21, 74
8.22, 75
8.23, 85
8.24, 79
8.25, 66
8.26, 72
8.27, 91
8.28, 89
8.29, 83
8.3, 79
8.31, 67
8.32, 54
8.33, 65
8.34, 73
8.35, 79
8.36, 68
8.37, 73
8.38, 67
8.39, 84
8.4, 69
8.41, 71
8.42, 63
8.43, 71
8.44, 80
8.45, 78
8.46, 80
8.47, 72
8.48, 71
8.49, 73
8.5, 71
8.51, 70
8.52, 65
8.53, 68
8.54, 61
8.55, 68
8.56, 68
8.57, 68
8.58, 82
8.59, 76
8.6, 65
8.61, 70
8.62, 70
8.63, 62
8.64, 81
8.65, 69
8.66, 84
8.67, 72
8.68, 75
8.69, 61
8.7, 68
8.71, 85
8.72, 63
8.73, 69
8.74, 56
8.75, 88
8.76, 64
8.77, 73
8.78, 86
8.79, 72
8.8, 79
8.81, 63
8.82, 71
8.83, 57
8.84, 73
8.85, 71
8.86, 75
8.87, 76
8.88, 55
8.89, 64
8.9, 73
8.91, 60
8.92, 82
8.93, 68
8.94, 63
8.95, 72
8.96, 67
8.97, 69
8.98, 72
8.99, 59
9, 72
9.01, 75
9.02, 66
9.03, 65
9.04, 75
9.05, 77
9.06, 79
9.07, 59
9.08, 63
9.09, 67
9.1, 69
9.11, 73
9.12, 67
9.13, 77
9.14, 74
9.15, 76
9.16, 58
9.17, 81
9.18, 81
9.19, 79
9.2, 58
9.21, 75
9.22, 82
9.23, 59
9.24, 70
9.25, 79
9.26, 69
9.27, 63
9.28, 73
9.29, 59
9.3, 58
9.31, 74
9.32, 70
9.33, 85
9.34, 63
9.35, 77
9.36, 69
9.37, 91
9.38, 76
9.39, 83
9.4, 81
9.41, 66
9.42, 70
9.43, 75
9.44, 80
9.45, 70
9.46, 78
9.47, 77
9.48, 72
9.49, 88
9.5, 65
9.51, 80
9.52, 71
9.53, 72
9.54, 67
9.55, 78
9.56, 68
9.57, 79
9.58, 57
